2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
13,Fort Worth,Texas,"895,008","741,206",+20.75%,342.9,888.1,"2,491",962,32°46′53″N 97°20′48″W﻿ ,United States,,William J. Worth,Council-Manager,Fort Worth City Council,Betsy Price (R),,342.2,7.0,"7,102,796",653 ft,,"2,181.0",Fort Worther,UTC−6 (CST),UTC−5 (CDT),"76120, 76008, 76028, 76036, 76101-76124, 76126-76127, 76130-76137, 76140, 76147-76148, 76150, 76155, 76161-76164, 76166, 76177, 76179, 76180-76182, 76185, 76191-76193, 76195-76199, 76244, 76247, 76262, 76129 (exclusive to TCU), 76107",48-27000,fortworthtexas.gov,,1873,,682 and 817,1380947,"Tarrant, Denton, Parker, Wise",349.2,,,,,David Cooke,"List
• Carlos Flores• W. B. ""Zim"" Zimmerman• Carry Moon• Gyna Bivens• Jungus Jordan• Dennis Shingleton• Kelly Allen Gray• Ann Zadeh",
14,Columbus,Ohio,"892,533","787,033",+13.40%,218.5,565.9,"3,936","1,520",39°59′07″N 82°59′05″W﻿ ,United States,1812,Christopher Columbus,,,Andrew J. Ginther (D),,217.17,5.94,"2,078,725",902 ft,"892,533","3,960.44",Columbusite,UTC-5 (EST),UTC-4 (EDT),"Zip codes
43035, 43085, 43201-43207, 43209-43224, 43226-43232, 43234-43236, 43240, 43251, 43260, 43266, 43268, 43270-43272, 43279, 43287, 43291",39-18000,City of Columbus,"2,424,831 (US: 25th)",,"1,368,035","614, 380, 740",1080996,"Delaware, Fairfield, Franklin, Pickaway",,,,,,,"Members
Elizabeth C. Brown (D)Mitchell J. Brown (D)Shannon G. Hardin (D)Rob Dorans (D)Shayla Favor (D)Emmanuel Remy (D)Priscilla R. Tyson (D)",
15,San Francisco,California,"883,305","805,235",+9.70%,46.9,121.5,"18,569","7,170",37°43′38″N 123°01′56″W﻿ ,United States,,St. Francis of Assisi,Mayor-council,Board of Supervisors,London Breed (D),,46.89,185.00,,52 ft,,"18,838",San FranciscanSan Francisqueño/a,UTC−8 (Pacific Time Zone),UTC−7 (Pacific Daylight Time),"List
94102–94105
94107–94112
94114–94134
94137
94139–94147
94151
94158–94161
94163–94164
94172
94177
94188",06-67000,sf.gov,San Jose–San Francisco–Oakland,"April 15, 1850",,415/628,"277593, 2411786",,,,,,,,,
16,Charlotte,North Carolina,"872,498","731,424",+19.29%,305.4,791.0,"2,757","1,064",35°12′28″N 80°49′52″W﻿ ,United States,1755,Charlotte of Mecklenburg-Strelitz,Council-manager,"City Council of Charlotte, North Carolina",Vi Lyles (D),,,,"2,474,314",761 ft,"859,03517","2,400",Charlottean,UTC−5 (EST),UTC−4 (EDT),"28201-28237, 28240-28247, 28250, 28253-28256, 28258,  28260-28262, 28265-28266, 28269-28275, 28277-28278, 28280-28290, 28296-28297, 28299",37-12000,charlottenc.gov,,1768,"1,249,442","704, 980",,Mecklenburg,305.4,,,,,,,
17,Indianapolis,Indiana,"867,125","820,445",+5.69%,361.5,936.3,"2,366",914,39°46′36″N 86°08′45″W﻿ ,United States,,,Strong mayor–council,Indianapolis City-County Council,Joe Hogsett (D),,361.51,6.52,"2,004,230",715 ft,"863,002","2,365.55",Indianapolitan,UTC−5 (EST),UTC−4 (EDT),"61 total ZIP codes:
46201–46209, 46211, 46214, 46216–46231, 46234–46237, 46239–46242, 46244, 46247, 46249–46251, 46253–46256, 46259–46260, 46266, 46268, 46274–46275, 46277–46278, 46280, 46282–46283, 46285, 46290–46291, 46295–46296, 46298",18-36003,www.indy.gov,"2,386,199 (US: 27th)","September 3, 1832","1,487,483",317 and 463,,Marion,,,,,"January 6, 1821",,,
18,Seattle,Washington,"744,955","608,660",+22.39%,83.8,217.0,"8,405","3,245",47°37′14″N 122°21′03″W﻿ ,United States,,Chief Seattle,Mayor–council,Seattle City Council,Jenny Durkan (D),,83.86,58.21,"8,186",,"744,955","8,642.42",Seattleite or Seattlite,UTC−8 (PST),UTC−7 (PDT),".mw-parser-output .nobold{font-weight:normal}ZIP codes
98101–98119, 98121–98122, 98124–98127, 98129, 98131, 98133–98134, 98136, 98138–98139, 98141, 98144–98146, 98148, 98154–98155, 98158, 98160–98161, 98164–98166, 98168, 98170, 98174–98175, 98177–98178, 98181, 98185, 98188, 98190–98191, 98194–98195, 98198–98199",53-63000,Seattle.gov,"4,853,364 (US: 14th)","December 2, 1869","3,059,393",206,1512650,King,142.07,,,,,,,
19,Denver,Colorado,"716,492","600,158",+19.38%,153.3,397.0,"4,521","1,746",39°45′43″N 104°52′52″W﻿ ,United States,,James W. Denver,Consolidated City and County,Denver City Council,Michael Hancock (D),,153.33,1.63,"8,414.4","5,130–5,690 ft","716,492","4,519.94",Denverite,UTC−7 (MST),UTC−6 (MDT),"80201–80212, 80214–80239, 80241, 80243–80244, 80246–80252, 80256–80266, 80271, 80273–80274, 80279–80281, 80290–80291, 80293–80295, 80299, 80012, 80014, 80022, 80033, 80123, 80127",08-20000,denvergov.org,"3,572,798 (US: 15th)","November 7, 1861, as Denver City, C.T.","2,374,203",303 and 720,0201738,,,,,,"November 17, 1858, as Denver City, K.T.",,,
20,Washington DC,District of Columbia,"702,455","601,723",+16.74%,61.1,158.2,"11,148","4,304",38°54′15″N 77°01′02″W﻿ ,United States,,George Washington,,,Muriel Bowser (D),,61.05,7.29,"6,216,589",,,"11,367",Washingtonian,UTC−5 (EST),UTC−4 (EDT),"20001–20098, 20201–20599",,dc.gov,"9,665,892 (4th, U.S.)",,,202,,,,,,,,,,
21,Boston,Massachusetts,"694,583","617,594",+12.47%,48.3,125.1,"13,938","5,381",42°19′55″N 71°01′13″W﻿ ,United States,,"Boston, Lincolnshire",Strong mayor / Council,,Marty Walsh (D),,48.42,41.21,"4,500",141 ft,"694,583","14,345",Bostonian,UTC−5 (EST),UTC−4 (EDT),"53 ZIP codes
02108–02137, 02163, 02196, 02199, 02201, 02203, 02204, 02205, 02206, 02210, 02211, 02212, 02215, 02217, 02222, 02126, 02228, 02241, 02266, 02283, 02284, 02293, 02295, 02297, 02298, 02467 (also includes parts of Newton and Brookline)",25-07000,Boston.gov,"10,600 sq mi (27,600 km2)","March 19, 1822","1,770",617 and 857,0617565,Suffolk,89.63,MBTA Commuter Rail,,,,,,Logan International Airport
22,El Paso,Texas,"682,669","649,121",+5.17%,256.8,665.1,"2,660","1,030",31°50′54″N 106°25′37″W﻿ ,United States,,,Council–manager,,,,255.3,1.0,"845,553","3,740 ft","682,66922",,El Pasoan,UTC−7 (MST),UTC−6 (MDT),"79900-79999,88500-88599 (PO Boxes)",48-24000,www.elpasotexas.gov,"1,060,397(US: 54th)",1873,,915,1380946,El Paso,256.3,,,,,Tommy Gonzalez,Mayor Dee Margo (R)Peter SvarzbeinAlexsandra AnnelloCassandra HernandezSam MorganIsabel SalcidoClaudia OrdazHenry RiveraCissy Lizarraga,El Paso International AirportELP (Major/International)
23,Detroit,Michigan,"672,662","713,777",−5.76%,138.8,359.5,"4,847","1,871",42°22′59″N 83°06′08″W﻿ ,United States,,,Mayor–council,Detroit City Council,Mike Duggan (D),,138.72,4.17,"3,913",656 ft,"673,104","4,852.42",Detroiter,UTC−5 (EST),UTC−4 (EDT),"48127, 48201, 48202, 48204–48206, 48208–48210, 48212–48217, 48219, 48221–48228, 48231–48235, 48236, 48238–48240, 48243, 48244, 48255, 48260, 48264, 48266–48269, 48272, 48275, 48277–48279, 48288",26-22000,Official website,"5,336,286 (US: 12th)","September 13, 1806","1,295",313,1617959,Wayne,142.89,,,,"July 24, 1701",,"Members
Janeé Ayers – At LargeBrenda Jones – At LargeJames Tate – District 1 NorthwestRoy McCalister, Jr. – District 2 Near NorthwestScott Benson – District 3 NortheastAndre Spivey – District 4 Far East SideMary Sheffield – District 5 Central-Near East SideRaquel Castaneda-Lopez – District 6 SouthwestGabe Leland – District 7 West Side",
24,Nashville,Tennessee,"669,053","601,222",+11.28%,475.9,"1,232.6","1,388",536,36°10′18″N 86°47′06″W﻿ ,United States,,Francis Nash,,,David Briley (D),,504.03,21.91,"1,903,045",597 ft,,"1,300",Nashvillian,UTC−6 (CST),UTC−5 (CDT),37201-37250,,www.nashville.gov,,1806,,615 and 629,,Davidson,,,"I-40, I-24, I-65, and I-440",,1779,,,
25,Portland,Oregon,"653,115","583,776",+11.88%,133.5,345.8,"4,793","1,851",45°32′13″N 122°39′00″W﻿ ,United States,,"Portland, Maine",Commission,,Ted Wheeler (D),,133,12,"2,478,810",50 ft,"653,115","4,504.2",Portlander,UTC−08:00 (PST),UTC−07:00 (PDT),97086-97299,41-59000,PortlandOregon.gov,"3,239,335 (US: 19th)","February 8, 1851","1,849,898",503 and 971,1136645,MultnomahWashingtonClackamas,145,,,,1845,,,
26,Memphis,Tennessee,"650,618","646,889",+0.58%,317.4,822.1,"2,056",794,35°06′10″N 89°58′39″W﻿ ,United States,,"Memphis, Egypt",,,Jim Strickland (D),,315.1,9.0,"1,348,260",337 ft,"652,236","2,000",Memphian,UTC−6 (CST),UTC−5 (CDT),"Zip codes
37501, 37544, 38002, 38016, 38018, 38028, 38088, 38101, 38103–38109, 38111–38120, 38122, 38124–38128, 38130–38139, 38141, 38145, 38147–38148, 38150–38152, 38157, 38159, 38161, 38163, 38166–38168, 38173–38175, 38177, 38181–38182, 38184, 38186–38188, 38190, 38193–38194, 38197",47-48000,City of Memphis,,"December 19, 1826","1,060,061",901,,Shelby,324.0,,,,"May 22, 1819",,,
27,Oklahoma City,Oklahoma,"649,021","579,999",+11.90%,606.3,"1,570.3","1,053",407,35°28′02″N 97°30′49″W﻿ ,United States,,,Council – Manager,,David Holt (R),,601.11,19.23,"1,396,445","1,201 ft","649,021",930,,UTC−6 (CST),UTC−5 (CDT),"Zip codes
73101-73132, 73134-73137, 73139-73160, 73162-73165, 73167, 73169-73170, 73172-73173, 73178-73179, 73184-73185, 73189-73190, 73194-73196, 73198, 74013",40-55000,Oklahoma City official website,,"July 15, 1890",410.6,405,1102140,"Oklahoma, Canadian, Cleveland, Pottawatomie",620.34,,,,"April 22, 1889",Craig Freeman,,
28,Las Vegas,Nevada,"644,644","583,756",+10.43%,134.4,348.1,"4,709","1,818",36°13′45″N 115°15′36″W﻿ ,United States,,,Council–manager,,Carolyn Goodman (I),,135.8,0.05,"2,227,053","2,001 ft","648,224","4,300",Las Vegan,UTC−8 (PST),UTC−7 (PDT),,32-40000,lasvegasnevada.gov,"2,462,015 (US: 26th)","March 16, 1911","2,211,315",702 & 725,0847388,Clark,135.8,,,,"May 15, 1905",Scott D. Adams,"Members
Lois Tarkanian (D)Ward 2 VacantBob Coffin (D)Stavros S. Anthony (R)Cedric Crear (D)Michele Fiore (R)",
29,Louisville,Kentucky,"620,118","597,337",+3.81%,263.5,682.5,"2,339",903,38°09′55″N 85°38′51″W﻿ ,United States,,Louis XVI,Mayor–council,,Greg Fischer (D),,380.46,17.23,"1,293,953",466 ft,,"1,924",Louisvillian,UTC-5 (EST),UTC-4 (EDT),,21-48006,LouisvilleKy.gov,"1,522,112	 (US: 35th)",1828,"972,546",502,0509453,Jefferson,,,,,,,,
30,Baltimore,Maryland,"602,495","620,961",−2.97%,80.9,209.5,"7,598","2,934",39°18′00″N 76°36′38″W﻿ ,United States,,"Cecil Calvert, 2nd Baron Baltimore (1605–1675)",Mayor–council,Baltimore City Council,Jack Young (D),,80.95,11.10,"2,802,789",0–480 ft,"602,495","7,556.25",Baltimorean,UTC−5 (EST),UTC−4 (EDT),"Zip codes
21201–21231, 21233–21237, 21239–21241, 21244, 21250–21252, 21263–21265, 21268, 21270, 21273–21275, 21278–21290, 21297–21298",24-04000,City of Baltimore,"9,797,063 (US: 4th)",1796–1797,"2,203,663","410, 443, and 667",0597040,None (Independent city),,,,,1729,,"Council members
Jack Young (President)Zeke Cohen (1)Brandon M. Scott (2)Ryan Dorsey (3)Bill Henry (4)Isaac ""Yitzy"" Schleifer (5)Sharon Green Middleton (6)Leon F. Pinkett, III (7)Kristerfer Burnett (8)John T. Bullock (9)Edward L. Reisinger (10)Eric Costello (11)Carl Stokes Sr. (12)Shannon Sneed (13)Mary Pat Clarke (14)",
31,Milwaukee,Wisconsin,"592,025","594,833",−0.47%,96.2,249.2,"6,186","2,388",43°03′48″N 87°58′00″W﻿ ,United States,,,Strong mayor-council,,Tom Barrett (D),,96.19,0.63,"1,572,245",617 ft,"595,351","6,189.58",Milwaukeean,UTC−6 (CST),UTC−5 (CDT),"53172, 53201–53216, 53218–53228, 53233–53234, 53237, 53259, 53263, 53267–53268, 53274, 53278, 53288, 53290, 53293, 53295",55-53000,city.milwaukee.gov,"2,043,904 (US: 29th)","January 31, 1846; 173 years ago (1846-01-31)","1,376,476",414,1577901,"Milwaukee, Washington, Waukesha",96.82,,,,,,,
32,Albuquerque,New Mexico,"560,218","545,852",+2.63%,188.2,487.4,"2,972","1,147",35°06′20″N 106°38′51″W﻿ ,United States,,"Francisco Fernández de la Cueva, Duke of Alburquerque",Mayor-council government,,Tim Keller (D),,187.7,1.8,"915,927","5,312 ft","558,545","2,900",,UTC−7 (MST),UTC−6 (MDT),"87101–87125, 87131,87151, 87153, 87154,87158, 87174, 87176,87181, 87184, 87185,87187, 87190–87199",35-02000,www.cabq.gov,,1891 (as Albuquerque),,"505, 575",0928679,Bernalillo,189.5,,,,1706 (as Alburquerque),,"Councilors
5 Democrats,3 Republicans1 IndependentKen Sanchez (D)Diane G. Gibson (D)Isaac Benton (D)Cynthia Borrego (I)Brad Winter (R)Pat Davis (D)Klarissa J. Peña (D)Trudy Jones (R)Don Harris (R)",Albuquerque International SunportABQ (Major/International)
33,Tucson,Arizona,"545,975","520,116",+4.97%,230.8,597.8,"2,299",888,32°09′11″N 110°52′14″W﻿ ,United States,,,Council-manager government,,Jonathan Rothschild (D),,236.19,0.32,"1,010,025","2,389 ft","535,677","2,246.95",Tucsonan,UTC−7 (MST (no DST)),,85701-85775,04-77000,www.tucsonaz.gov,,"February 7, 1877","843,168",520,43534,Pima,236.50,,,,,,,
34,Fresno,California,"530,093","494,665",+7.16%,114.4,296.3,"4,563","1,762",36°47′01″N 119°47′36″W﻿ ,United States,,"Spanish for ""ash tree""",Mayor-Council,,Lee Brand (R),,114.42,0.28,"972,297",308 ft,"527,438","4,562.76",Fresnan,UTC−08:00 (Pacific),UTC−07:00 (PDT),"93650, 93701–93712, 93714–93718, 93720–93730, 93737, 93740, 93741, 93744, 93745, 93747, 93750, 93755, 93760, 93761, 93764, 93765, 93771–79, 93786, 93790–94, 93844, 93888",06-27000,www.fresno.gov,,"October 12, 1885",,559,"277606, 2410546",Fresno,114.70,(planned),,,,Wilma Quan-Schecter,,Fresno Yosemite International AirportFAT (Major/International)
35,Mesa,Arizona,"508,958","439,041",+15.92%,137.9,357.2,"3,514","1,357",33°24′07″N 111°43′03″W﻿ ,United States,,,,,John Giles (R),,137.88,0.75,"4,857,962","1,240 ft","508,958","3,514.66",,UTC−7 (MST (no DST)),,85200-85299,04-46000,www.mesaaz.gov,,,"3,629,114",480 602,,Maricopa,138.63,,,,1878,,,
36,Sacramento,California,"508,529","466,488",+9.01%,97.9,253.6,"5,059","1,953",38°34′00″N 121°28′07″W﻿ ,United States,,Sacrament of the Holy Eucharist,City Council,Sacramento City Council,Darrell Steinberg (D),,97.92,2.18,"2,149,127",30 ft,"508,529","5,057.33",Sacramentan,UTC−8 (PST),UTC−7 (PDT),"942xx, 958xx",06-64000,cityofsacramento.org,Sacramento-Roseville,"February 27, 1850","1,723,634",916 and 279,"1659564, 2411751",Sacramento,100.11,(planned) (planned),,,,,"Council Members
Angelique AshbyAllen WarrenJeff HarrisSteve HansenJay SchenirerEric GuerraRick Jennings, IILarry Carr",Sacramento International AirportSMF (Major/International)
37,Atlanta,Georgia,"498,044","420,003",+18.58%,133.5,345.8,"3,539","1,366",33°45′46″N 84°25′22″W﻿ ,United States,,,,Atlanta City Council,Keisha Lance Bottoms (D),,133.2,0.8,"8,376","738to1,050 ft","486,290","3,547",Atlantan,UTC−5 (EST),UTC−4 (EDT),"30060, 30301–30322, 30324–30334, 30336–30350, 30340, 30353, 30363",13-04000,atlantaga.gov,"6,451,262 (11th)",,"1,963",404/678/470/770,0351615,"Fulton, DeKalb",,,,,,,,
38,Kansas City,Missouri,"491,918","459,787",+6.99%,315.0,815.8,"1,528",590,39°07′30″N 94°33′04″W﻿ ,United States,,Kansas River,,"Kansas City, Missouri City Council",Sly James (D),,314.95,4.08,"7,952",910 ft,"491,918","1,400",Kansas Citian,UTC– 06:00 (CST),UTC– 05:00 (CDT),"64101-64102, 64105-64106, 64108-64114, 64116-64121, 64123-64134, 64136-64139, 64141, 64144-64149, 64151-64158, 64161, 64163-64168, 64170-64172, 64179-64180, 64183-64184, 64187-64188, 64190-64193, 64195-64199, 64999",29000-38000,KCMO.gov,"2,487,053 (US: 27th)","June 1, 1850 (as the Town of Kansas); March 28, 1853 (as the City of Kansas)",584.4,"816, 975 (planned)",0748198,"Jackson, Clay, Platte, Cass",319.03,,,,,,,
39,Colorado Springs,Colorado,"472,688","416,427",+13.51%,195.6,506.6,"2,378",918,38°52′02″N 104°45′39″W﻿ ,United States,,,Home rule municipality,,John Suthers,,194.74,0.37,"712,327","6,035 ft","465,101","2,388.31",,UTC−7 (MST),UTC−6 (MDT),"80901–80951, 80960, 80962, 80970, 80977, 80995, 80997",08-16000,coloradosprings.gov,,"June 19, 1871","559,409",719,0204797,El Paso,,,,,,,,
40,Miami,Florida,"470,914","399,457",+17.89%,36.0,93.2,"12,599","4,865",25°46′31″N 80°12′31″W﻿ ,United States,1825,Mayaimi,Mayor–commission,,Francis X. Suarez (R),,35.99,20.08,"6,137",6 ft,"463,347","12,604.32",,UTC−5 (Eastern (EST)),UTC−4 (EDT),33010–33299,12-45000,miamigov.com,"6,828,241 (US: 10th)","July 28, 1896","1,116.1",305 and 786,"277593, 2411786",Miami-Dade,,"Tri-Rail, Virgin Trains USA",,,,"Emilio T. Gonzalez, PhD",,Miami International Airport
41,Raleigh,North Carolina,"469,298","403,892",+16.19%,145.1,375.8,"3,163","1,221",35°49′50″N 78°38′30″W﻿ ,United States,,Sir Walter Raleigh,Council–Manager,,Nancy McFarlane (I),,142.8,2.0,,315 ft,"464,758","3,284",Raleighite,UTC−05:00 (EST),UTC−04:00 (EDT),"27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617",37-55000,raleighnc.gov,"2,201,103(29th)",,"1,012,994","919, 984",1024242,"Wake, Durham",,,,,,,,
42,Omaha,Nebraska,"468,262","408,958",+14.50%,133.2,345.0,"3,356","1,296",41°15′52″N 96°02′42″W﻿ ,United States,,,,,Jean Stothert (R),,138.21,3.60,"975,454","1,090 ft","466,061","3,378.26",,UTC−06:00 (CST),UTC−05:00 (CDT),"68022, 68101–68164",31-37000,www.cityofomaha.org,"931,666 (US: 57th)",1857,"725,008","402, 531",0835483,Douglas,141.81,,,,1854,,"Members list
Pete Festersen (D)Ben Gray (D)Chris Jerram (D)Vinny Palermo (D)Rich Pahls (R)Brinker Harding (R}Aimee Melton (R)",
